model,R2_mean,RMSE_mean,MAE_mean,Pearson_r_mean,R2_std,RMSE_std,MAE_std,Pearson_r_std
knn,0.6178495456124429,2.0627339981029467,1.5778927568581818,0.7888051365614341,0.0,4.440892098500626e-16,0.0,0.0
rf,0.7255805277014759,1.747795908461071,1.3044435895173818,0.8545669326836176,0.007693325007309576,0.024533449444032938,0.021203410579723997,0.005002139205518065
svr,0.7309569733753574,1.7307602270779348,1.361521431689209,0.871366408462284,1.1102230246251565e-16,0.0,0.0,0.0
mlp,0.8123017526150307,1.4450340538000586,1.0977884698069709,0.9023125184917145,0.010729860518718043,0.04138827745644572,0.029264226330230358,0.006407625537109674
