model,R2,RMSE,MAE,Pearson_r,paper_R2
knn,0.6178495456124429,2.062733998102947,1.5778927568581818,0.7888051365614341,0.6148
rf,0.7327994329647208,1.724823752772134,1.2833479900936362,0.8590186783749034,0.7169
svr,0.7309569733753575,1.7307602270779348,1.361521431689209,0.871366408462284,0.7285
lgbm,0.76886840333858,1.6041895992402195,1.1567657575821138,0.8772763878758828,
mlp,0.7990351380375369,1.4958433019691384,1.134455703387268,0.8946172585434646,0.8161
