model,R2,RMSE,MAE,Pearson_r,paper_R2
knn,0.5945903488183532,1.786416336623482,1.4049202938145455,0.7879427922780167,0.5919
rf,0.443396609699514,2.0931895778051794,1.5888814030746363,0.676440037382194,0.4747
svr,0.31624314148562005,2.319992002698144,1.9803376830676784,0.6415683608336187,0.3157
mlp,0.4904219551339557,2.0028157320643567,1.6575857189835825,0.701679447161636,0.4532
