model,R2_mean,RMSE_mean,MAE_mean,Pearson_r_mean,R2_std,RMSE_std,MAE_std,Pearson_r_std
knn,0.5945903488183532,1.786416336623482,1.4049202938145453,0.7879427922780167,0.0,0.0,2.220446049250313e-16,0.0
rf,0.44531317548538407,2.0892131160705634,1.6020685029199817,0.675655428178791,0.020927344370271633,0.03929933829085801,0.031063183877852625,0.013291976289198525
svr,0.31624314148562005,2.319992002698144,1.9803376830676782,0.6415683608336187,0.0,0.0,2.220446049250313e-16,0.0
mlp,0.48684924328655893,2.0068349364846663,1.618054172549794,0.7199068941831046,0.05519154090416343,0.10958050906075012,0.07706550215911095,0.027038322693870402
